id,start_sentence_index,end_sentence_index,text,role,start_time,end_time
1,0,2,"Simply, all other teams failed to prove what is the mechanism and the impact here. And also, all other teams failed to characterize how the teacher, students, and qualification looks like. So simply, for those reasons, we are sad that most of them failed.",introduction,1.9,21.2
2,3,9,"So first of all, I would like to start being engaged from the OG cases. So from the OG, they said that it is possible that it is a really, since those kind of high elite rural countries or areas have urgency of the needs of teachers. So it is really important to reduce the qualification. However, there are no mechanism or how those kind of reducing the qualification looks like. And since there are alternate ways, for example, it is also possible to, for example, how to say, hack in or send in teachers from other regions. So there's no mechanism of reducing the qualification for here. So OG cases is totally not unique.",independent_rebuttal,22.1,70.7
3,10,14,"And from the second, there were points that passions are just kind of things, but this is not true. I think if the person has a passion about being a teacher or those kind of things, I think it's really, really crucial to, it's fine to increase the number of qualifications. Because why? Because in the high elite literacy, which means that compared to those kind of diplomas or those kind of high literate countries, it means that something that is more required, for example, academic skills are required, which means that there's no uniqueness to it. Instead, people or students have a passion towards being the teacher. It's much more required or it is more justifiable to increase the number of teaching qualifications. So there's a mechanism.",independent_rebuttal,71.3,119.4
4,15,17,"Also, they are also the point that lowering the high year, high literacy rates is only the requirement. Like training teachers in the long term can lead to students' ability. But this is not the really, really important thing. Why?",independent_rebuttal,119.9,135.5
5,18,21,"Because there was no mechanism to explain how those kind of taking this motion is going to lead to raising the quality of the teachers. Since this is the motion of the high illiteracy rate in region, which means that it is impossible to think, although it is impossible to think that those kind of teachers who are going to be qualified in this kind of region are going to be able to teach students. So which means that in the long term, I think it doesn't really have a clear and big impact on how the students are going to improve their ability. So which means that OG cases is not standing out because they lack the mechanism and uniqueness here.",independent_rebuttal,135.5,174.4
6,22,22,So we are overriding OG for several reasons.,point_of_comparison,174.5,177.1
7,23,25,"And next, moving on to CG, they mentioned that it's going to be like, since like, so they mentioned that to become, to get the qualification of teachers, there's no need to have an expertise. However, in the long term, this is not that much beneficial because as my team member told you, this motion is about schools, which means that you have to think about how the students look like. And our teammate clearly proved why or how the students look like.",independent_rebuttal,177.5,208.4
8,26,29,"But since the students are really in the kind of teenage ages, which means that they are really, really vulnerable, that they might lose, like students in this age tend to lose their identity, or they're just going to struggle with considering about their future or those kind of things. Which means like, since like in the educational, academically being said, that those kind of teenage students are tend to have like real struggles in this age. Like this means that teachers have to have a required courses for, for example, like students consultant or those kind of things. So in the long term, this is, it is a really, really high demand of how, so which means that, that there are points that they don't require, don't have to be, have acquired this kind of expertise, except this kind of academic ability is not that unique so much.",independent_rebuttal,208.6,260.7
9,30,30,"And also they failed to prove why it is justifiable to reduce, as I told you, this qualification is something that dictates students' individual future, and they failed to justify why it is legitimate to reduce the number of qualifications.",independent_rebuttal,260.9,277.8
10,31,34,"And second of all, from this issue, there was a mention that increasing the number of teacher can lead to high literacy rate. However, this is not true. As I told you, this is, this can lead to like negative cycle of education, because like it, by reducing the qualification, it means that the education remains to be really, really low quality compared to those kind of high literal countries or like areas. So which means that the quality will never raise by having like this negative cycles. So which means that in the long term, it is difficult to think since, yeah, also since they failed to clearly elaborate on the mechanism, mechanism here, it is valuable, valid to think that those kind of negative cycles are going to continuously happen.",independent_rebuttal,278.5,328.6
11,35,35,"And yeah, and also there was no mechanism of how people are going to likely to be motivated to take the qualifications.",independent_rebuttal,329.8,337.1
12,36,36,"So which means that our team is studying, studying superior rather than CHB.",point_of_comparison,337.4,343.8
13,37,39,"So lastly, for OOO, we crystallized how the teacher is the only cultural assistant for teenage students who are like really, really vulnerable in that age. And also like how the, we told you how the qualification looks like and why this would not be the fundamental solution. And we crystallized on that point.",point_of_main_argument,345.5,368.6
14,40,42,"Furthermore, from the OOO, there was a mention that like social matter or moral, those kind of things are required. But as I told you, in the teaching license or in the process of acquiring qualification, in normal, like people have to take classes of like moral education or like consultants for students or those kind of things. Which means that we crystallized on how the teacher is going to be like learn those kind of academic things and explain to you how it is a really, really important thing for the vulnerable teenage students.",independent_rebuttal,369.2,406.4
15,43,47,"And lastly, I would like to say to hold the point that in the long term, this won't happen. This is likely to have an impact both in the high literal and high illiteracy rate area. By having the qualification, reducing the qualification, which means that people who are in the high literal countries are going to move to those kind of high illiterate countries just to acquire this kind of qualification. Which means that those kind of educational criteria of the qualification are going to be totally decreased as a whole. Which means that in the social, in the micro level of the society and also the micro level of the vulnerable students, we are happy to do this.",point_of_comparison,406.7,456.5
