id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,1,"need to go where it actually has a meaning, where they can actually leave a clear impact and actually provide some help to climate change are proposed. First of all, I'm going to be talking about my setups and then our arguments and then finally our impacts.",introduction,0.0,11.6,
2,2,7,"So first thing on setup, who are these green investors and what do they look like and what are their incentives? These are probably people who really care about climate change. These are probably people who have money, who want to give their resources and somehow support companies that are trying to defeat climate change. They could also be companies that simply value a lot of sustainability. For example, they want to do sustainable fashion or simply produce products that cause less damage to the environment. These are the sort of climate startups that we are looking at.",definition,11.8,50.7,
3,8,9,"And the status quo in developed countries, these companies are likely to be underfunded or less prioritized simply because they probably want to create cheap clothing that can give them more income without spending less resources. So it's likely that they're less prioritized in the current status quo and so on.",definition,50.9,69.9,
4,10,14,"But then third of all, what do these developing states look like in the current status quo? It is number one, these countries, they're less likely to prioritize environmental things in the current status quo. It's likely that they would rather spend their financial budget on things like developing, things like creating cheap products that they sell a lot and they vastly produce and then they get a lot of income from that. They probably don't have the capacity to think about sustainability or spend their money and financial budget on things or think about environment and stuff like that. And it's likely that many of these countries are situated in places like Southeast Asia or places simply where there's environment has become a huge problem.",definition,69.9,115.4,
5,15,19,"So why do we think that these green investors are likely to invest in these developing states? And why do we think these people are going to think these places need to be prioritized? Number one, it's because these countries have less capacity in the first place, right? As a developing state, it's likely that they have less resources, less money than a developed state, right? Insofar as the government probably has less budget.",point_of_main_argument,115.4,136.9,
6,20,24,"But then number two, and notice here how these governments are also less likely to have an incentive to advocate for climate change insofar as they think like, oh, the people who cause this climate change are developing states. Developed states, it's not our problem. It's their problem that they need to fix. We need to focus on developing. That's how we're going to use our limited resources on.",point_of_main_argument,137.2,156.8,
7,25,31,"But then the second reason why we think green investors are likely to be more interested in developing states is because developing states simply have more urgency, right? Because a lot of the natural disasters that are occurring are in places like Southeast Asia where climate change has become a huge problem. These people on the ground are actually facing huge harm to their lives, right? Things like natural disasters or where they face floods and they don't have enough crops or they get and they starve or something like that. And we think that green investors are likely to see this as a huge threat. They're likely to think that they have to prioritize this area. So they probably have an incentive to invest in this area as well.",point_of_main_argument,157.4,190.6,
8,32,34,But then the third reason why we think these people are likely to want to prioritize developing states is simply because they're likely to leave the impact in these developing areas rather than investing in states that are already developed. Why is this true? This has to do with the incentives of already developed states and developing states.,point_of_main_argument,190.8,208.9,
9,35,41,"So rich states, countries that have already developed, it's likely that, number one, green companies probably already exist because it's already become a problem that's prominent in society. Everyone cares about the environment. The difference between these rich states and these developed states is that the rich states simply have the capacity to care about the environment. They actually have room to care about the environment. And their citizens are likely to have the capacity to be able to purchase these sort of sustainable goods. So therefore, there's a need for these products. So these companies probably already exist in the first place.",point_of_comparison,209.2,244.0,
10,42,44,"But then, number two, developing states, developed states likely also care a lot about their reputation insofar as there's lots of countries that are pressuring them and being like, you guys caused this problem, you have to solve it. And likely because these countries care about their reputation. There's already an incentive for the government to invest in climate change or support companies that are doing things for climate change.",point_of_comparison,244.4,272.5,
11,45,51,"So what this simply suggests is that rich states or developed states already care about their reputation. They already have green companies. They're already likely to have more support for green companies than in developing states. So in comparison to this, in developing states, there's, first of all, less people who invest because there's more people who care about their income, more people who care about their proxy. Yeah, more people just care about getting more money and spending less resources on getting more money. And they simply don't have an incentive. They have just more incentive to invest in things that helps them develop rather than investing in things that helps sustain their environment.",point_of_comparison,272.6,312.8,
12,52,53,"And we can see this from how there's countries, for example, India, who has produced lots of CO2, and yet they're not really doing a lot to mitigate it. Yeah, we can see because there's just this narrative where developing states or countries that are in the state of developing simply puts the blame on already rich states and they make no move to change their status quo.",point_of_main_argument,313.3,334.6,
13,54,58,"We think that, and we think that simply, how is this going to change on our side? Startups are going to face a much higher chance of success, right? Why is this true? Number one, simply, they're going to have more money from investment. In the status quo, we're like, simply, they would have more money from investment.",point_of_main_argument,334.9,354.5,
14,59,61,"What is this going to do? It's going to lead to being able to produce sustainable products, more companies who are going to move towards producing sustainable products and sustainable products. And at the same time, they're probably going to be able to create these products at a lower price, right?",point_of_main_argument,354.7,370.7,
15,62,66,"Because in the status quo, even if sustainable products do exist in developing countries, they're likely to be expensive and people on the ground are probably not that rich. They probably don't have the capacity to opt into these sort of things, right? Something that we have to know here is that everyone in this world, they probably care about the environment, right? It's not like, oh, I want to buy cheap goods all the time so I can destroy the climate. It's likely that they would probably opt into these sustainable goods if they have the resources to do so.",point_of_main_argument,370.7,393.1,
16,67,68,"We think the green investors probably going to, yeah, so we think the green investors are simply going to decide to opt into investing in, invest in developing states, simply because it leaves a bigger impact, simply because they know they can help more people, simply because they know that without their investment, the chances of green, chances of climate start succeeding in developing states and leaving a clear impact is going to be much, much smaller. Proud to oppose.",point_of_main_argument,393.3,421.9,
