id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,1,"Speech in 3, 2, 1. Just quickly for both, we're moving on to my extension.",introduction,0.0,6.0,
2,2,7,"First, they say that social media will lead to people prioritizing other people rather than themselves. First question here, what's done is just necessarily a good thing, right? And so far, they never explained how, then, people are actually going to think more about others. Like, for example, are people actually going to be more appetizing? Are people actually going to care more and actually do actions? We say that there is not much benefit that's actually going to come.",independent_rebuttal,6.2,26.7,
3,8,9,"Rather, we say this is actually bad because you simply define your value only by how much other people see you, right? For example, you only think that you're a good person if other people see you in a good way or in a positive way.",independent_rebuttal,27.0,41.4,
4,10,13,"But also, secondly, this is even worse in so far as social media trying to quantify how other people are going to see you. It's not on a more holistic metric about, ah, you are someone that's really nice. You are someone that's pretty. But that is probably going to be quantified in so far like how much likes you are actually going to get and how much followers that you're actually going to get.",independent_rebuttal,41.5,58.3,
5,14,18,"In so far, my friend, Lisa, has already told you why this algorithm is something that's very superficial. In so far, people don't necessarily recommend, the algorithm does not necessarily recommend things that's actually something that's have a good value to society or something that's actually really nice. But it's more about how much then this kind of contents are actually able to bring more activity to this company. For example, which content probably can get like way more likes, get more clicks, or get more purchases in whatever products that investors are trying to put into this company. We see that it's going to be really, really helpful when people actually start to see that their values are actually being defined by this kind of very superficial metrics that are actually being offered by the social media platform.",independent_rebuttal,58.3,103.8,
6,19,26,"I think moving on to the second group of us is how we talk about you can learn about other things through social media and so on. And this is good because you can learn about other things that you're probably not exposed to in the contrapuntal. First, we don't understand how then this impact is actually explicit, right? We're only talking about how social media is harmful, but we're not going against internet and so on. And so far, internet is still going to exist. Wikipedia probably going to exist. And this sort of like online encyclopedia is probably something that you get access to. So we see this kind of exposure towards information are still going to be more accessible.",independent_rebuttal,104.1,135.8,
7,27,36,"But then secondly, why the information is going to be far worse under yourself, the host. And so far, there is much more lower entry to be able to spread information, right? Probably, you can probably create some sort of news video, even though you're not a journalist that's actually working in a formal news outlet such as CNN, Fox News, or this kind of things. It means that you can simply spread any sort of information. It does not necessarily even have to be coverage. Even worse, when people actually spread advices regarding health issues without actually having the credentials to be able to do so. So therefore, we say that it's not like misinformation that LO has never engaged on. It's not something that's way more helpful. Even though information is going to be spread, they say on their site, we say it's going to be bad because this information are not something that's actually going to be helpful. It's something that's going to be bad that makes people's lives simply worse.",independent_rebuttal,136.1,188.8,
8,37,41,"I'm moving on to my extension here. It's mainly about the individual impact, specifically about the social interaction, right? Not just how social media is no longer about sharing about how you're actually doing in your life, which probably going to lead to more social interaction, but rather, it has become on how you should actually do your life. We see how there's several trends that have dictated people to actually live their life. For example, a trend of what you have been doing wrong or do's and don'ts about certain stuff, like how you're supposed to do when you meet your Tinder date or how you're actually supposed to apply to university or do's and don'ts about applying jobs and this kind of situation, right?",point_of_main_argument,188.9,226.0,
9,42,47,"Several issues here. First, again, as I mentioned before, in the rebels, there's a very low barrier of entry. It means the people that are giving this advice are probably not professional consultants. They're not professional workers doing these kind of situations because in that case, they're probably supposed to be locked behind a paint wall or at least it's something that's supposed to be a professional thing that they pay for. But this is also related to the second point, right? Even though they do not have credentials, they can sell these kind of services. For example, like, ah, you should subscribe more on me on Patreon for more specific things that you're probably going to know more, which is probably going to be more helpful without actually having the credentials that can back them up regarding this kind of information.",point_of_main_argument,226.0,264.4,
10,48,54,"And then secondly, algorithm of the social media does not work on the fact check, right? It works on reaction feedback. It means it's not going to give more information or they're going to spread this content more if it's actually factually true, but they're actually going to spread content that's simply gain more reaction from people that are probably going to gain more shares. And what exactly is this kind of content, right? We see these kind of contents are those probably that's clickbaits. That's probably that try to engage more of like hateful content. That's probably this about other people or trying to make like sarcastic statement that probably create like more emotional feedback and so on. Therefore, we see this kind of like misrepresentation is going to be bad.",point_of_main_argument,264.8,304.7,
