id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,0,"Quite strange, because the extent of characterization we get into what a great investor is, is, oh, they're an investor, so they fucking like money, or either, oh, they're a great investor, so they want to see success, without nobody really characterizing what the motivations or what the backdrop of this activity is.",independent_rebuttal,0.0,15.1,
2,1,2,So I'd like to posit it from CEO. Three things I think is very clear about this effort.,introduction,15.1,19.6,
3,3,7,"One, I think if you're a great investor, that means you have a lot of seed money, therefore you're reasonably educated. Obviously, you're from some sort of Ivy League school, or some sort of, I don't know, like Dock's Bridge, or some sort of developed country, very, very like metropolitan posh-ass college, because you come from money, right? Obviously, you come from a certain degree of privilege. This means that you're extremely proximate to developed country cultures or economies.",definition,19.7,41.4,
4,8,8,"But second of all, I think you're probably liberally progressive in the sense that you're less likely to, you're less likely to support authoritarian regimes, you're more likely to be sensitive to things like the Xinjiang Uyghur genocide in China, or you're less likely to support countries without strong democratic checks and balances, right?",definition,41.4,57.9,
5,9,10,"But third of all, and this is the most important, your capital is more likely going to be tied down in local assets, in the sense that if you are a green investor, who's green enough to invest in something like technology in the first place, and who's going to likely use their capital in order to better the world, you obviously don't care, like money isn't a big issue for you. Because if money is a really big issue for you, just take your capital invested in the S&P 500 or Apple, you're not going to go out of your way to invest in green technology, which means that at the end of the day, your local assets are probably bound to things like local banks or local land, which means you're not likely going to be able to rapidly liquidate them to be able to export your funds to developing countries who have weak financial infrastructure in the first place, or who are much far more likely to rob you or have unstable financial infrastructure for you to tie down those assets to companies that you're able to trust.",definition,58.0,108.2,
6,11,11,"Keeping this in mind, it's far more likely you're going to invest in a developed country, several reasons why.",point_of_main_argument,108.2,112.5,
7,12,13,"But before I even go there, let's talk about then what a developing country looks like, because even there I see weak characterisation. Three things here.",introduction,112.5,119.4,
8,14,14,"One, developing countries have really weak democratic checks and balances, in the sense that you don't have things like proper court systems, or you don't have things like proper payment systems that protect you from certain robber barons, or authoritarian governments that are trying to take advantage of your technology, in the sense that you're more susceptible to people that are going to try to exploit you.",definition,119.4,137.5,
9,15,16,"But second of all, note that there's weak economic infrastructure in general, and I think all tries to explain this but fails. This means that things like just generally basic things like material you need for a technology startup, things like fucking computers or things like factories that are going to actively create your technology, or other angel investors that are going to join you investing to this company, is severely lacking.",definition,137.5,157.7,
10,17,17,"But third of all, note that there's in general a weaker talent pool, in the sense that you have a far more better access to engineering majors, or you have far more better access to people who are qualified to work in your startup, if you set up shop in a developed country.",definition,157.7,170.3,
11,18,20,"So I think it's a no-go that developed countries have a far better chance of having these startups succeed in general, right? It's a vertical extension to what I was saying. That's why Playstack Silicon Valley is in California instead of a developing country, and that's why even if you want access to talent pools in developing countries, you import them from these developing countries, rather than setting up shop in those countries, exactly because of the reasons I've outlined for you above.",point_of_main_argument,170.3,193.8,
12,21,24,"Keeping this in mind, several reasons, or several extensions, as to why you're far more likely going to be better off investing into a developed country. One, you're just happier. You have far higher social utility in this process. Why?",introduction,193.8,206.5,
13,25,26,"Three pieces of analysis. One, again, you're more likely to succeed. I think I've explained enough why success is far more likely in a developed country.",point_of_main_argument,206.5,214.5,
14,27,28,"But second of all, note that there's more transparency in general, in the sense that insofar as you probably live in a developed country because you're an investor who's green, who has enough money to care about this sort of environment without having to worry about your financial gains, you're not going to be able to check upon your investments or check upon your progress if it's thousands of miles away or it's oceans away. Insofar as you're going to probably invest in local infrastructure or local communities that are within your developed country, it's far more likely you're going to be able to see that progress far more easily if you invest in a developed country that either you're staying in or is culturally proximate to you.",point_of_main_argument,214.5,250.2,
15,29,31,"Third of all, note that at the end of the day, you're going to feel far more accomplished at the end of the day if your local community or your local country is impacted. For example, if you're from England and you're investing in a local green startup that makes energy-saving in England far more efficient, you're going to feel far more better insofar as households in England that are approximately culturally and nationally to you are taking advantage of this technology rather than people that are thousands of miles away who have no local ties, who have no nationalistic ties to you in general. Insofar as this technology is going to be successful, if it's part of the country or community that you are part of, which is most likely going to be developed, that's going to be far better for you social utility-wise.",point_of_main_argument,250.2,295.0,
16,32,32,"This is better because you have to care about this analysis because insofar as it's an after emotion, you have to draw upon generalized patterns of behavior that are likely for the after, which is why I explained to you why this actor is far more likely to be part of a developed state or why this actor is far more likely to have their local assets in a developed state.",point_of_main_argument,295.0,315.9,
