id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,7,"Our goal is not only to protect the nation, but also to fight against terrorism. So, ladies and gentlemen, it is an honor for me to be here and speak. So, I will do my best. So, I have three points today. One is that the government's role is a safe citizen, but safe citizen doesn't mean a fool when we take and watch for. The second is that this plan, so the payment paid for the terrorists, it means that the opposition side is totally against our government's role. And third is that this plan certainly contributes to our government's role. So, let me explain one by one.",introduction,5.1,59.8,
2,8,11,"So, before that, I have to define this motion. This housing is that of the whole government. As the government told us, we criminalize the payment for ransom to the terrorists below. So, terrorists below, yes, please imagine about the earrings I attend to at home.",definition,60.4,76.1,
3,12,19,"So, let me move on to my point. First is our government's role. I think that maybe in this debate that safe citizen is the consensus of the state base, but safe citizen, what does it mean? It's completely different in these two sides. So, maybe they said that safe citizen means safe hostage, but this is individual. Our means of safe citizen is the safe mass citizen. It's not individual, but societal level.",point_of_main_argument,76.3,110.7,
4,20,25,"So, we government put priority on the mass citizen, not the individual citizen, because the government's kind of job is making the happiness life of the whole nation. In order to achieve this goal, we have to set up a very easy and peaceful society. So, if the system of society will collapse, we'll never get the happy life, ladies and gentlemen. So, in order to set up the healthy society, what we need is the safe citizen. So, mass citizen, not individual. In this point, we put the priority on the not individual, but the mass.",point_of_main_argument,112.9,156.1,
5,26,29,"So, the society system means that only we go shopping to our town or exciting music live. So, work hard, sleep peacefully, and go overseas like that. We can enjoy ordinary daily life. It's the ultimate happiness in this world.",point_of_main_argument,157.9,181.9,
6,30,40,"However, the second point is that the payment for the long term is certainly against this goal. So, A is that pay to terrorism group is that it becomes torturer to the people on this kind of list. Because once we pay to the terrorism, they'll become not just. Just because we send the kids sleeping from this government, we can get the money. So, why terrorism group do kids sleeping or get hostage means that they want money. So, ISIS and so on is a very isolated organization. So, they have very struggling to deal with that money. So, in order to get money, they kill kids sleeping, get hostage, and get money from them. So, if they recognize that from our government, they can derive the money. So, they do again and again. So, this kind of list of being hostage will be certainly increased.",point_of_main_argument,185.1,255.8,
7,41,45,"The second point is that to get money is that it means that to cooperate to the terrorism is certainly necessary. So, this kind of terrorism is that certainly anti-social group so that it tries to destroy our peaceful or healthy society. Also, it gives them the money to buy weapons or pay for the air and so on. So, that will certainly be a power to the ISIS and so on. So, in two points, payment for the terrorist, it is certainly against our governmental law.",point_of_main_argument,256.4,306.0,
8,46,52,"However, third point. So, this plan can be solved with progress. So, do you mean that you want to make those victims of ransom? Do you kind of make victims of kidnapping? Do you neglect those victims of kidnapping rather than potential hostages? So, what is that? So, after I explained to you that this kind of list of hostages can lead to thousands of victims.",independent_rebuttal,306.0,338.9,
9,53,56,"The second is that we actually criminalize the payment, but other kinds of ways. For example, co-aggression. So, a few years ago, when our Japanese Japanese are hostage by the ISIS, we are co-aggressed by the Turkish government or closed system and try to save them. And like this kind of the way, we already have.",point_of_main_argument,338.9,361.1,
10,57,57,"And the third point is, even if actually we cannot actually succeed in this kind of success, but even though, but rather we prioritize in the mass citizen rather than individuals.",point_of_comparison,361.5,379.9,
11,58,61,"So, third point is that, after taking this proposal, A, the list of the target hostages start to decrease. Because as I said, the intention of the kids living or hostages is the money. If they recognize that, even though we do keep kids living or be hostage, we cannot get that money, they stop them such kind of inefficient way, because they cannot get money. And in such a case, we can decrease the future number of victims of the hostages.",point_of_main_argument,379.9,420.0,
12,62,65,"The second B is that, to decrease the IS-ISIS money, so that it certainly decrease the money to buy weapons or salaries for the army. So, IS-ISIS can get weaker and weaker. We can destroy the society's written power itself. According to that written, we can achieve the hostage-free life.",point_of_main_argument,420.0,441.2,
