id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,4,12,"Ladies and gentlemen, in order to save citizens from mass attack, we should introduce this plan. But ladies and gentlemen, that is a strange story and an indirect story. Why? Because we can prevent a mass attack for citizens by terrorism by a more direct plan. For example, airbombing or government restrictions directly to the terrorists. For example, actually, we're doing some scheme to the terrorists in ISIS by, for example, airbombing and actually killing readers of ISIS. Actually, they're weakened by airbombing. So actually, we do work by a more direct plan. It cannot be the reason to criminalize payment for ransom to achieve the government-side goals.",independent_rebuttal,37.6,88.9,
2,13,15,"We think that the opposite side said was that we should save those who kidnapped by paying ransom to terrorism. And that is really important as the government, as the parents. I'm going to explain in the first bit, thank you, about the opportunity to save those who are kidnapped, and secondly, about freedom of choice of those who pay the ransom.",introduction,88.9,117.8,
3,16,19,"Let's move to the first point, which is about the opportunity to save those who are kidnapped. So, at the state of school, why terrorists and gurus are kidnapping people, or we can see in the general race, the kidnapped by ISIS or children, innocent children are kidnapped by terrorism. So, after that, in order to save them, the other people, or parents, or partners, or sometimes the states save themselves, they pay ransom to terrorists. And that is the only way for them to save their children, save the children or those who are kidnapped.",point_of_main_argument,117.8,155.2,
4,20,24,"For example, we can find a case, a Japanese journalist kidnapped by ISIS, when the Japanese government denied paying ransom, they are killed, actually. No, thank you, ladies and gentlemen. But if they pay ransom, certainly, actually, they can save those who are kidnapped. For example, in the Spanish government, or also the European government, or the same journalist by paying ransom to ISIS, actually, we have the case. So, actually, it's reasonable to say that the kidnappers, if we pay ransom to them, those who are kidnapped are released, and actually, we can save them.",point_of_main_argument,155.2,202.1,
5,25,29,"And, okay, so, and of course, if they can't, no, thank you. After taking a stab, what will happen? Those who, even though those who pay ransom have no responsibility for the children, for the partners to be kidnapped, but they are criminalized to pay ransom. And after that, what happens? They can't pay, or they cannot pay ransom, or sometimes the terrorism kill the people.",point_of_main_argument,202.1,229.9,
6,30,38,"And of course, the terrorism, it is no use demanding ransom to the people, ransom to the victims. But they need money. So, actually, that's why they do ransom. No, thank you. So, what will happen? So, they start human trafficking. They start organ trading. By doing them, by any means, they want money. So, they do inhuman things more over.",point_of_main_argument,229.9,259.3,
7,39,44,"No, thank you. So, actually, what will happen? Even though we can save them by paying ransom, they are not, they won't be saved. They will die by, killed by terrorism. The important thing is, in this argument, is that the paying ransom is a certain way to save those who are kidnapped, I mean the innocent people. And that's the importance in this first argument.",point_of_main_argument,259.3,287.9,
8,45,50,"So, what is the priority, not only the mass, but the individual? Right, right, ladies and gentlemen. Of course, we should, of course, we need to protect mass citizens from bombing. But, I mean, I say, I say that in order to save mass citizens from a terrorism attack, we have another, more effective plan to, for example, air bombing, a more direct plan to do that. So, really criminalizing the paying ransom is too far from their purpose. And we, that is why we shouldn't criminalize paying ransom.",point_of_comparison,287.9,330.9,
9,51,59,"Let's move on to the second point, which is the freedom of choice. The freedom of choice, why freedom of choice is important. Let's look at two things. The first is that the right weather is a rational choice enough. And second, it is harm to others. First, the rational choice. In the case of children, and children are kidnapped by terrorism, for the parents, children is really important, important existence. So, even they pay ransom to terrorism, they want to, as the parents, they want to save the children, because the parents have a duty to protect their children. So, and that is the rational choice to pay ransom to terrorism.",point_of_main_argument,330.9,371.5,
10,60,61,"And second, in the case of the government, because the government pay ransom to release those who were kidnapped by paying ransom, is that also we can say that it is a rational choice, because as the government, it's the duty to protect citizens and save the citizens from a serious situation. So, we can say, also in this case, we can say that it is rational choice.",point_of_main_argument,371.5,395.6,
11,62,67,"And let's move on to the second point, which is harm to others. Of course, firstly, we don't know how to use the, we don't know, of course, it is uncertain that the terrorism, how the terrorism use the money, get from the, get from the ransom. So, moreover, they commit crime, they commit human crimes, as I say, the kidnapping, because they need money, because they lack of money. Well, if they have enough money, they will, they do, they don't do that, but it's a risk, it's high risk to be arrested, it's high risk to be, we can, it's organisms, so organization. So, so, so we can say, we can assume that they, because they don't have money, much money, because they need money, they are, they start human crimes. After, if they, if they paying ransom, enough ransom to those terrorism groups, totally, but when we say totally, because the kidnappers, I mean, terrorism, lose the motivation to do the, to, to have a risk, so the totally, we can say, these cases, inhuman cases will decrease, and that is why we vote this motion.",point_of_main_argument,395.6,478.8,
