speech_key,id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
Proposition_1st,1,0,1,"So basically I'm going to talk about in this area with the high literacy rate, this will significantly reduce the qualification of Mississippians to be a teacher. And most of the areas that have a high literacy rate would be poor areas, and they're mostly dependent on other countries, and all of those areas will have the same things called lack of education systems.",point_of_main_argument,0.9,30.9,
Proposition_1st,2,2,3,"And in those high literacy rates areas, we must understand what is a teacher's qualification. And to have the ability to be a teacher, the most obvious thing is the ability to teach, or ability to write, to understand the languages of the specific country, or understand the cultures, or have knowledge in the specific areas.",definition,32.2,59.3,
Proposition_1st,3,4,4,"So we also need to understand that having a high literacy rate is also a fundamental problem to solving other problems in the country, because people need to understand and to learn the language to communicate, which is the most specific thing, which is the most simple thing, and we also need to, and the people there need to study, and for example, some countries, they need a higher, they have a higher literacy rate, and it also doesn't mean like the rate of the teachers need to be reduced, and for example, in some countries, to reduce the high literacy rate, the rate of the qualification is possible to reduce, such as people, the teachers, because it's an emergency case, it is a fundamental problem, so specific countries need to have an immediate need for teachers, which means reducing the qualifications, and it will also, by reducing the qualifications of the teachers, it can increase the teaching workforce by that, asking for more people to be a teacher, to spreading the information, and increasing the teaching workforce rapidly, and for example, Vietnam, they used to have high literacy rate by depending on some countries, and they caused an impact to make the people there to completely depend on them by not understanding their own languages, and by that, to prevent those problems, to become independent, to become not more dependent on some countries, it will make the people there vulnerable, right?",point_of_main_argument,61.7,215.8,
Proposition_1st,4,5,5,"So by solving that problem, decreasing the rate of qualifications of teachers is a need that people can, asking for more teachers to spreading the understanding in the problem, because without understanding the culture, without having a knowledge to their own countries, or without having a knowledge to understanding the world, the words, having understanding is also a very important matter, and that's all.",point_of_main_argument,215.8,258.4,
Opposition_1st,1,0,1,"So, from the opposition side, we disagree with the fact that we will reduce the qualification of teachers in the area where there's high illiteracy. So we'll start by setting up what qualification is and what high illiteracy means, and then we will give out a point that reducing the qualification will affect both illiterate and literate students in the government paradigms, and also we'll show the mechanism of how to maintain good quality teachers, even though it's an urgent issue to increase the number of teachers.",introduction,0.0,40.9,
Opposition_1st,2,2,4,"So, let's start with the setup. We say that qualification includes teacher training, which results in teacher license, but also a university degree, if you are a general teacher, maybe an education major. If you are, for example, a science teacher, maybe some expertise in math or other science fields like physics.",definition,41.2,67.6,
Opposition_1st,3,5,7,"And so, we would also set up high illiteracy rate as being associated with areas where governments are poor or developing countries, but we would want to argue that because of that, qualification is more important because in those areas, as compared to already developed countries, the qualification for teachers are not that perfect. The criteria still needs improvement.",definition,67.6,110.2,
Opposition_1st,4,8,8,"So, if we reduce the qualification of teachers further, then it would make the situation worse because you would have less qualified teachers in an already less qualified criteria.",point_of_main_argument,110.5,126.1,
Opposition_1st,5,9,11,"And especially in highly illiterate areas, students would need a lot of help in reading and understanding language and reading and understanding the passage context. So, you would really need a qualified teacher to help teach them. The teacher that put efforts in teaching.",point_of_main_argument,129.6,153.7,
Opposition_1st,6,12,15,"As compared to literate students who already know how to read, the teacher doesn't have to do much in order to help them learn how to read. But if you need a lot of help, then the teacher has to find specific methods that help those students to teach. So, instead of just conventional teaching, like asking the student to stand up and read the passage and see if they can read, they have to make sure that they understand or help create games that make them engage in the teaching or have after school class to help with students who struggle in class to catch up. And so, in order for teachers to do this, you need a very qualified teacher.",point_of_main_argument,154.6,223.7,
Opposition_1st,7,16,18,"So, we would argue that reducing the qualification would only make it worse. Not only for illiterate students, but also for literate students because if the quality of teaching is low, then literate students who are already good, they cannot improve further. If you have a qualified teacher, then you would help improve literate students to be better and also help illiterate students to catch up with the literate students.",point_of_main_argument,224.1,254.9,
Opposition_1st,8,19,22,"The government side might say that it costs a lot for the qualification and it is an urgent issue. But we would say that the government can initially subsidize this program or subsidize to help boost the salary of the teachers in short term so that it can attract a lot of people who are very qualified or who have a degree attracting people to become teachers. So, then that would solve the issue. And afterwards, the government could improve on the policies to help build a good foundation.",independent_rebuttal,256.5,306.5,
Opposition_1st,9,23,26,"And I think the main thing is that education creates a long term product. So, even though the issue is urgent that you need to improve the literacy rate, but because students learn now and then they grow up and the effect will be seen in 10 years. So, I think it's better, although it's an immediate problem, it's better to solve it with a solution that has a long term effect. Because you will see the effect in 10 years as students grow up.",point_of_main_argument,306.9,345.3,
Opposition_1st,10,27,28,"And that would also lay a foundation for areas with high illiteracy rate, to reduce the illiteracy rate so that it will not go back to that. It will lay a foundation for developing countries because high illiteracy areas are mostly related to developing countries as well.",point_of_main_argument,345.8,373.2,
Proposition_2nd,1,0,1,"I think the main thing that the opposition side failed to provide is that they provide the form of the qualification but did not provide the content of the qualification. They say it's about teacher training, like having a degree or having some credits, and also maybe a test or something, but they didn't provide that what do the teachers learn in those courses, in those training, in those tests.",independent_rebuttal,0.0,36.7,
Proposition_2nd,2,2,5,"We believe that the content has different level, for example, when you're in your high school, your teacher kind of like, for example, in my Chinese class, I'm not only learning how to write, how to have some basic stuff I can work, how to write Chinese characters, how to just read a book, I also learned some cultural things, like some literature. I think it's also generally a general qualification to become a teacher. So what I want to say is there's a different level of the content in the qualification. Some is like a basic stuff for learning a language to work, to use, to have the ability to read, like that, or the higher level is like to understand the cultural meaning or something.",definition,36.7,105.5,
Proposition_2nd,3,6,7,"But the main problem here is for those areas with high illiteracy rate is that their people, because they are illiterate, they can't work as well as people who can read, write, and the ability gap is huge. So the main purpose of those countries, and as the opposition say, this is foundational, this is emergency, they have to let those people learn some ability to read, to write, and not just to casually talk with your friends.",point_of_main_argument,105.5,153.4,
Proposition_2nd,4,8,9,"So, and also, I'm a little bit confused that they didn't provide the, why is it important to lower the illiteracy rate for those countries? What's the connection between, and also the impact?",independent_rebuttal,153.4,173.1,
Proposition_2nd,5,10,12,"They say, oh, so one of the main argument for them is that they think the teacher who passed the qualification will be more passionate, but I think it's not really that relevant because the content of the thing that you learn in teacher course, teacher degree, teacher training, it's like mainly, based on my understanding, it's not mainly about how to be passionate about your teacher, no, how to be passionate about your student. I mean, passion is not something you can train. What you can train is the content, the content of the language, like I said, maybe that's not called content.",independent_rebuttal,173.1,225.1,
Proposition_2nd,6,13,13,"So, yes, they say education is like a foundational work, and it has to be taken in the long-term view, but in a long-term work, there still has some priority, which you believe it is, it is that those people who are illiterate, to learn how to read, how to write, and once they can read, they can write, they have better ability to work, and the country who is, both sides agree, which is very poor or developing country, they can get more efficient labor and have more economic growth, which is important for the country.",point_of_main_argument,228.0,281.8,
Proposition_2nd,7,14,15,"And so, okay, so they say the qualification in those area is usually imperfect, but they didn't explain how do those poor country have the qualification system. They must be learned from somewhere, right?",independent_rebuttal,281.8,309.3,
Proposition_2nd,8,16,16,"And also, they mentioned that the reduction that the motion say will make the qualification more imperfect, we believe that's not true, and we believe that the qualification at this system, those developing country, those poor country has now, it's mainly learned from those developed country, they have a more perfect qualification, so they learn from that and apply in their country, but it is not really applicable for those country, because they can't even have a meal, why do they need to learn some cultural stuff?",independent_rebuttal,309.3,360.3,
Proposition_2nd,9,17,19,"So, our main argument is to lower the illiteracy rate first by reducing the qualification, which means we just need those teacher have some basic reading, writing stuff, and they can teach student. They don't have to have a huge amount of cultural knowledge, because it is the main problem that the areas are facing, and they want to solve this, and as they say, it's foundational. So, yeah, as all the reasons above, I'm proud to propose.",point_of_main_argument,360.3,408.1,
Opposition_2nd,1,0,2,"My speech will start in 3, 2, 1. So, first things from the DIO, first of all, engagement with the OG, and after that, explain our extension. So, first of all, engage with the OpenUp government bench.",introduction,0.0,15.1,
Opposition_2nd,2,3,7,"So, I have several engagements. So, first of all, let's check the premise of the government side. So, in this debate, the government's bench scope is in developing countries context wide. So, this is what they talk about in this debate. But first of all, we did not accept that premise, because let's think about the context where in areas with high literacy rate.",independent_rebuttal,15.3,37.8,
Opposition_2nd,3,8,10,"So, first of all, you will intuitively notice that this is the developed countries context wide, because first of all, in developed countries, the quality of education, which directly connects to the leading complication ability, or literacy rates, are well organized compared with the developing countries. So, therefore, in the first place, the context is not developing countries, but developed countries. Especially, for example, East Asia, especially South Korea or Japan, but also European countries like France or the UK, or this kind of developed country, right?",independent_rebuttal,38.1,80.1,
Opposition_2nd,4,11,16,"And then, and also, even if the scope of the government bench is in developing country, by taking this plan, the situation of the quality of education will rather worsen in this type of health. Why? Because, first of all, as we define the motion, the qualification is, for example, degree of the university, or teacher license, or this kind of stuff. And then, without these qualifications, in developed countries, people who do not have expertise, or who do not have passion to educate children, is going to be a teacher in this type of health. And also, because in developing countries, the lack of educators are so serious, the people who are not expertise is going to be teacher in this type of health.",independent_rebuttal,80.1,139.7,
Opposition_2nd,5,17,20,"So, this is the likely context in this debate, as the government bench talked about in this   And then, without being said, compared with our type of health, the quality of education is worse in this type of health, right? Because of these reasons. So therefore, in the first place, the premise, scope is in developing countries, is wrong in the first place, right? So because the premise is wrong, their entire argument is defeated.",independent_rebuttal,139.9,168.5,
Opposition_2nd,6,21,25,"And next engagement here is about the passion coming from the DPM. So, first of all, we did not discuss the passion in the first place, right? What we focus on this debate is not the passion, but rather the qualification of the teacher itself, right? Whether or not it is good, right? So therefore, in the first place, we do not discuss the passion in the first place.",independent_rebuttal,169.8,201.5,
Opposition_2nd,7,26,29,"And also, as for the passion, what they talk about is the teachers do not have enough passion or do not acquire the trait to be a teacher in the first place, right? But it is not true in the first place, because even if that is true, in the first place, who will be a teacher in this context? We think that these are people who at least have the passion or motivation to be a teacher, will be a teacher in the first place, right? This means that at least they have the passion or motivation to educate children or give a good education to children in order to be a good teacher in the first place, right?",independent_rebuttal,201.6,251.9,
Opposition_2nd,8,30,32,"So therefore, even if what they talk about is true, that is not likely in the 7th house, right? Rather, in the 7th house, because the qualification of teachers remains the same in the 7th house, like the quality of teachers are keep at the same level in the 7th house compared with in the 7th house, where the quality of education is worsened. So therefore, for those reasons, their arguments are successful.",independent_rebuttal,251.9,284.4,
Opposition_2nd,9,33,38,"So let's move on to our extension. We have two extensions here. The first extension is the students are personality, right? My partner already told you the academia in school, so I will talk about the role of teachers. It's not just teaching subjects, but it is the educating sociability, manner, and moral, which is important to get along with others in society. So what the government bench misses in this debate is the core qualities or traits of the teachers themselves, right?",point_of_main_argument,284.9,317.2,
Opposition_2nd,10,39,40,"And then, the premise of this is two things. The first is in the opposition bench, you need to acquire expertise, but also you need to take the course to be a good teacher in the university or this kind of stuff.",point_of_main_argument,317.2,331.3,
Opposition_2nd,11,41,45,"And then, the next is this debate. This debate's scope is elementary school or junior high school or high school, right? This means that students who get effect in this debate are so immature, right? Because it is biologically immature, but also children do not have less experience compared with the adults, right? Therefore, for those reasons, they are immature.",point_of_main_argument,331.7,358.2,
Opposition_2nd,12,46,51,"And then, with that being said, what we need for children is the indicators, right? Good indicators or good teachers, right? And then, the delta in this debate is that at least in New South Wales, because there are clear qualifications to be a good teacher, or in New South Wales, there are some good teachers who have passion or motivation to educate children not only about the subject, but also, more importantly, sociability or manners and moral, this kind of stuff, right? And then, they have a little bit expertise about that because the course to be teachers guarantee these kind of materials, right? So, therefore, compared with our size, we can not only educate our subject, but also the sociability or this kind of important stuff. That's our extension.",point_of_main_argument,358.7,417.0,
Opposition_2nd,13,52,55,"So, let's move on to the next extension. So, our next extension is why are good teachers who are well-acquired important to children like us or students, right? So, this affects not only the intelligent students, but also the students who are now struggling with the academic stuff. So, therefore, because we say both actors, we are so proud to oppose.",point_of_main_argument,417.2,448.1,
Proposition_3rd,1,0,0,"In my speech, first I would like to engage the opening opposition and then do an extension.",introduction,0.0,14.5,
Proposition_3rd,2,1,3,"So first, the opening opposition mentioned that the premise of the opening government is wrong, in that teachers need expertise, and that, so the opening opposition mentioned that teachers need expertise as a teacher, and for this point, as our opening government said, in a highly illiteracy-rate country, this means that many people in that country cannot read, which is the basic needs, the first step of learning something through a textbook, or learning something advanced, for advanced education. So we do not need expertise in cultural knowledge, or higher education and expertise, but we only need how to read basic texts first, and this is the most important demand. So, like our opening government said, such basic reading and writing skills is what is needed as a first step in this, for a not-developed country.",independent_rebuttal,15.2,133.3,
Proposition_3rd,3,4,8,"Next, they also mentioned that personality is important, additionally to expertise. They mentioned education, educating moral manners, or sociability is important. I believe that such quality is not necessarily graded or evaluated through official qualifications. It does not need to be officially graded, like through training sessions and training a teacher, I don't know, like tests to become a teacher. These qualities can be had, like normal people can have, and this depends on, like, this is like personal character, so, and a person's character, well, yeah, I agree in, like, training, teacher training classes, maybe more, like, morals as a teacher can be taught deeply and professionally, but just for teaching basic reading and writing skills, like a parent can do that for their children, and I don't think that high, like, knowledge for, about manners or communications or sociability is needed.",independent_rebuttal,133.3,240.8,
Proposition_3rd,4,9,9,"So, reducing, by reducing the qualifications of becoming a teacher to just basic reading and writing skills, we can increase the number of teachers, and by doing so, we can raise the illiteracy rate in that country, and then, next, I would like to extend this point, so by raising the illiteracy rate, more people can get more accurate information, which will prevent misunderstandings, for example, in such a poor country, they may be, like, misunderstandings about, like, oh, someone in that, what, someone in that living area, like, stole your, I don't know, crops or something, and then, maybe that person had their own, I don't know, reason, or actually, well, such, well, reading, like, texts prevent misunderstanding in general, and then, words taught, words through oral words can change as it is passed on to different people, and so, generally speaking, texts are more concrete, so, and this is important so that everyone in the society has the same understanding, the accurate understanding of a simple topic, which prevents, like, conflict or war, so, getting information, everyone being illiterate and having the accurate information is crucial for a stable society, and next, in such poor country, the people are poor because their jobs are not stable, maybe in an agricultural country, like, lack of rain would cause, would, like, influence their income every year, which is not stable, but teachers are a stable job because schools are always there, the building is always there, the students are always there, so, the job of teachers would create a stable job for the people living there, which enables them to live a more safe and stable working life.",point_of_main_argument,240.8,436.2,
Opposition_3rd,1,0,13,"I'll start my speech in 3, 2, 1, go. We think school is not a place where to teach ability to children. We think school is a small second society for children. So we think that school is not only a place to get some abilities, but also to communicate with children. So we think that communicating with children is a more important thing for the children. So in terms of this point, we try to oppose in this motion. We're talking about three things. Firstly, how to extend for my opening opposition. How to educate to teach in the qualification test. Secondly, how to teach to children. Two types of arguments. Firstly, children hate school and school learning after the motion. Secondly, they can't solve their own communication problem. This is very serious problem for the children we see.",introduction,0.0,65.0,
Opposition_3rd,2,14,22,"So I move on my first argument, how to educate teachers in the university or something. So the leader's opposition or someone talking about the qualification is some training in the university or something. So however, we think that we have to more prove that how to educate and what kind of education for the teachers. We think that in the university, they learn how to communicate with children. How to learn to communicate with children. So for example, how to compromise about the children problem like bowling or something. So we think the university is not only teaching something specialized. We think that in the university, educate for teachers to how to educate, communicate with some children.",point_of_main_argument,65.6,129.2,
Opposition_3rd,3,23,25,"So then in this case, it's very important for the children. It's important for the teachers because in the schools, mostly problem is how to compromise the children, like bowling or something, a mental problem. So we think that this is very important for the skills.",point_of_main_argument,129.7,153.2,
Opposition_3rd,4,26,29,"However, after the motion, maybe the government said they are talking about how to reduce their qualification test. We think that some qualification test means that maybe even if the teacher want to join some schools, they can join school like this. Now we think that some qualification test or something university skill will be abundant after the motion. So in terms of maybe some birth teacher go to the school and teaching children, so that is a very serious situation.",point_of_main_argument,153.7,192.9,
Opposition_3rd,5,30,36,"Then we think that maybe the government talking about they can learn some skills or something. However, this is not fundamental. Because the prime minister talking about if they learn something skills, they can change their society. However, this argument have much more logic. And they didn't talking about what is the impact of the individual in this situation. In terms of the basic skills or something, some sensing skills. So even if they can learn something, they have no impact.",independent_rebuttal,192.9,231.6,
Opposition_3rd,6,37,42,"And secondly, they're talking about that. Secondly, maybe the members of government talking about the teachers should have much more passion. However, we think that in terms of this position, they can teach well in their school. So we think we have much more harder qualification test. We need. So maybe the government doesn't stand on government argument.",independent_rebuttal,232.0,271.4,
Opposition_3rd,7,43,49,"On the contrary, even if some birth teacher go to the school, the children can't learn some education or something. So even if the birth teacher go to the school, they lost their skills. And then furthermore, the children have more passion than the teachers. So then they don't want to go to school. Or even if the teacher forced to learn in their school. So this is very serious situation in terms of the lie. So we think that teachers should have much more qualification. But this is very bad for the children.",point_of_main_argument,271.7,323.8,
Opposition_3rd,8,50,54,"And look at my third argument. So I extend for the children. So maybe the government are openly talking about some ability for the children. However, we see, as my introduction said, that the school is a small society for the children. So we have to learn some solving their children's problems.",point_of_main_argument,324.7,355.2,
