id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,4,Examiner is open for questions. I have no need to explain how important it is to save the nation because it is confidential. So how we achieve this goal is confidential. So let me summarize today about this problem. Okay.,introduction,6.2,72.8,
2,5,9,"So the point is that, one, the sacrifice to the payment. So last one will come back again. And again, the second is that, and so that, due to that payment, the citizens, the neighbors, are sacrificing themselves. So if the IRS do not fall in a fall, they will stop snatching because they have no need to do it. However, it's all not true.",independent_rebuttal,74.6,104.7,
3,10,11,"So, one, the ransom will come back again. So one doubt is that it's really there after our payment.",independent_rebuttal,105.1,115.5,
4,12,15,"The second is that, so it definitely doesn't get neglected because at present, they are falling in a fall. And if they didn't get the money, they just logically, they are mentally attacking. So as long as they have money, so they use it all so that they need money. So they need money always.",independent_rebuttal,115.5,151.5,
5,16,17,"And now is that, it's my point that it's just a co-operate to the untailed goal so that actually, we can save the individual citizens at that time. But behind that stage, we expect 100,000 to 10,000.",point_of_main_argument,152.2,173.2,
6,18,22,"The second point is that payment. It's a payment, they need to sacrifice it. But I cannot see that a real example if really they are sacrificing themselves. So I think it's a very doubtful. And so it's meaningless.",independent_rebuttal,173.2,188.0,
7,23,31,"The last is that if they are not falling in fall, they do not keep snapping or they are just eager to religious goals so that they do not stop terrorism attacks. So these are all misunderstandings. So why? Because at the same, they need money, they want always. The second is that they are achieving, they are just eager religious goals. However, it's not true. For example, ISIS is not one domestic religious group, but it hired many kinds of other nations citizens from France and so on. So they need a lot of payment and so on. So they are falling in fall.",independent_rebuttal,188.0,244.1,
8,32,35,"However, on the contrary of our cases, the most important thing is that we can certainly make that terrorism itself. We can solve the root cause of all problems. They are just giving us the solution at that time and at that time. We want to solve this motion from that root cause.",point_of_comparison,244.1,273.2,
9,36,36,So one is that we can see no more expected holidays because we stop the payment there.,point_of_main_argument,273.2,279.7,
10,37,41,"And second is that we do not cooperate them from the worldwide. We define as this house means that worldwide, so world government, so worldwide we stop to pay them. So that they are certainly falling in fall. And they have no money to do terrorism so that terrorist group suddenly collapse. So this is the fundamental goal and it's the only one way to achieve the religious goal.",point_of_main_argument,279.7,310.1,
