id,start_sentence_index,end_sentence_index,text,role,start_time,end_time
1,0,2,"Two things to say, first, about the two arguments we say. First, it's about the less racism. And secondly, about the more social soul, the soul solution to about the social solution will happen in our side.",introduction,0.0,20.5
2,3,3,"First point, less racism.",point_of_main_argument,21.7,24.0
3,4,8,"In order to do, firstly, I'd like to talk about what will happen and what is happening in the status quo. We see in the extremely polarized societies, it's so likely to have racism or some kind of discrimination to each minorities. It's already happening. It's so likely to happen. So likely to happen, even in the status quo, because of two reasons.",point_of_main_argument,26.4,70.2
4,9,13,"First, originally, the racism itself exists because of the historical system, and people followed it for a long time, and so on. And secondly, because that society is polarized, in that society, it's so likely to criticize others. In order to criticize others, especially criticize the minorities, because the majority of people having their feeling of they're not satisfying about their own, for example, about their own job, and so on. In that case, it's so likely to happen there are some kinds of demoralized others, and they want to protect their own profit. And in that case, it's polarized, and racism or other discrimination will likely decrease.",point_of_main_argument,72.1,146.7
5,14,17,"And then what will happen with this media laceration about their own criminal race or gender or religion? We think, because of that, we see, firstly, what media is likely is in opposition paradigm, focusing on their criminal race or that kind of characteristics, because media has an incentive to having much more audience. In order to do that, they are likely to sensationalize that crime or incident itself. So and also, because in that polarized societies, that kind of minority characteristics or so on is likely to be forecasted, because of that interest itself is likely to increase, as I already told you.",point_of_main_argument,146.9,218.2
6,18,20,"So that kind of not focusing on that race or so on, especially there are some kinds of minorities, the minority is so likely to happen. And then, because of that, what will happen is most of people, including most of people in that society, including the people who don't have, who originally don't have their own opinion about that minority or so on, will think that, ah, that minority people likely to slip into that crime or likely to be scary people or so on, because the number of the example of the minority is so limited, it's likely, right? So because of that small number of example, and having the huge example about the criminal cases, and because of that, that stereotype about that minority is so likely to be generated, because of the lack of information about them.",point_of_main_argument,218.7,310.1
7,21,24,So it's likely to slip into the hate speech or so on. But it means it's directly hurts the minority of minority people in that category. And that hurts on SNS or so on. It's so likely to happen.,point_of_main_argument,310.9,331.6
8,25,25,"But in our counterfactual, it's unlikely to occur, because firstly, in our paradigm, likely case scenario of media is attacking to the government or system of the norm itself, which is likely to the criminal cases, crime, the reason of crime happened, like the economic situation or something, so on.",point_of_comparison,331.9,363.0
9,26,30,"And why this is likely case scenario is because that media having the incentive to having much more audience, right? So they still have the incentive to sensationalize their own news. But they are bound to accuse the minority or something so on. So they're likely to motivate to criticize other aspects, criticize other things. And in order to sensationalize it, they're likely to attack to the much bigger reason, because of some kinds of, I don't know, lacking of the welfare or something so on, because of this media is likely to happen.",point_of_comparison,363.4,433.2
10,31,33,So we see the result of that is having their much better discourse in our paradigm about their welfare or solving that radical reason of their own criminals and solve it. So we probably propose this way. Thank you.,point_of_comparison,434.2,458.9
