speech_key,id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
Proposition_1st,1,0,5,"This is about the second year of the mobile. So firstly, in the government subsidized free existing international marketing system. And also, maybe companies are welcome to making a new app for these things. Maybe they are using the subsidy that the government or company can make more advertisement in the social media, or maybe they can enhance the security inside the matchmaking agency. With more human resources, they can supervise some chat and kicking out some special people or something. Or maybe they set more qualifications to ensure some security.",definition,0.0,52.1,
Proposition_1st,2,6,8,"And secondly, by using these international matchmaking agencies, maybe people coming from the developing countries have stronger incentive to matchmake with people in developed countries. Since in Asian countries, most Asian countries are rich people, like in Europe or Japan or something. Therefore, more people in developing countries have incentive to matchmake with people in developed countries.",point_of_main_argument,52.7,86.2,
Proposition_1st,3,9,11,"And lastly, as framing, the domestic matchmaking system does exist even in outside of the house. Because corporations in each country have incentive to accept money by demand from people for romantic relationships. Therefore, the data in this debate is people who want to obtain international marriage have more secure choice to achieve this.",definition,86.2,122.4,
Proposition_1st,4,12,15,"Then the main argument. Firstly, without these subsidized international matchmaking agencies, why is it hard for people to use this? Firstly, there is less access to these international matchmaking agencies because compared to the national matchmaking agency, maybe this needs some cost for making this. For example, you have to build some internet for several countries, or maybe you have to build a much bigger server for this.",point_of_main_argument,123.4,161.5,
Proposition_1st,5,16,20,"And secondly, the mental hurdle for people to obtain is more higher in the outside of the house. Because in the outside of the house, just random country does run some international matchmaking agencies. However, in outside of the house, the country itself officially satisfies some matchmaking agencies. And this causes a sense of trust in each individual. Therefore, there is less lower mental hurdle for people in outside of the house.",point_of_main_argument,162.0,186.5,
Proposition_1st,6,21,28,"This is important. Firstly, the Asian society needs marriage in order to survive. In outside of the house, there is less hurdle for people. Firstly, in the outside of the house, the hurdle for marriage becomes higher and higher. Because in rich countries, like Asian countries, maybe you have to get married. Maybe you need much money, or you need some higher social status to get more higher social status. However, in outside of the house, maybe you don't need much money to get married with the people from the developing country, or maybe the people in the other country less care about your social expectation or social status. Therefore, the hurdle of matchmaking is much lower in outside of the house.",point_of_main_argument,186.8,252.8,
Proposition_1st,7,29,31,"And secondly, simply having more choice is simply better in outside of the house. Because you have the choice for domestic marriage and also international marriage. This increasing proportion does increase the opportunity to get married in outside of the house.",point_of_main_argument,253.3,282.8,
Proposition_1st,8,32,36,"And thirdly, maybe people in developed states have a tendency to have less kids because most people have a past career or something. However, if people from other countries move to your country, maybe they don't have a career in that country. Therefore, they can focus on childcare or something. Therefore, it is easier for those people to get more child in outside of the house. Therefore, this international marriage will become the key way to solve this aging problem.",point_of_main_argument,283.8,331.3,
Proposition_1st,9,37,49,"And secondly, even if this aging problem doesn't solve significantly, still this international matchmaking agency is beneficial. Because this enhances the diversity in these areas. Firstly, because of some shortage of workers, maybe they are already accepting some international workers from developing countries or something. For example, convenience stores or something. However, there is some racist people or some bias towards these people from international countries. It does exist, unfortunately. However, this international marriage becomes the key way to diversity. Because if your daughter, if you approximate marriage with some international or foreign people, maybe people will become less likely to register for foreigners. Because you actually know the personality of the people from the other country. These people become the approximate actor for you. Therefore, in outside of the house, there will be less resistance to the international actor.",point_of_main_argument,331.8,413.1,
Proposition_1st,10,50,52,"And also, the tendency of these diversifications does occur. For example, interacting with international students or something. Therefore, this international marriage does accelerate this diversification in outside of the house, how to propose.",point_of_main_argument,413.6,436.3,
