id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,3,Thank you. I'm so proud. So now I'll offer up another moving word if we rest for eight minutes. Thank you.,introduction,4.4,11.4,
2,4,7,"So in this event, I have no need to explain how important this designation becomes in competition. So each competition is saving their nation. So how we achieve this goal is a different competition. So let me summarize today about this problem.",introduction,11.4,71.6,
3,8,11,"OK, so the point is that, number one, the sanctions do their payment. So last one will come back again. And again, the second is that due to that payment, the citizens never are sacrificing themselves. And third is that if the ISIS do not fall in a war, they will stop snatching because they have no need to do it.",introduction,71.6,100.2,
4,12,14,"However, it's all not true. First one, the last one will come again. So one doubt is that it's really there after our payment.",independent_rebuttal,100.2,115.2,
5,15,21,"Second is that, so it's not only because of the negligence. Because at present, they are falling in a war. And if they didn't get the money, it's just a logical idea. That's why they are not only attacking. So as long as they have money, so they use it all. So they need money. So they need money always.",independent_rebuttal,115.2,149.0,
6,22,24,"And last is that, it's my point that it's just a co-operative to the untapped growth. Actually, we can save the individual citizens at that time. But behind that hard stage, we expect 100,000.",independent_rebuttal,149.0,171.5,
7,25,29,"The second point is that payment. It's that payment, they need to sacrifice it. But I cannot see that a real example is really there sacrificing themselves. So I think it's a very doubtful. And so it's meaningless.",independent_rebuttal,171.5,188.0,
8,30,40,"The last is that if they are not falling in a war, they do not keep snatching. Or they are just eager to religious goals so that they do not stop terrorism. So these are all misunderstandings. So why? Because at the same time, they need money always. And secondly, it's that they are just eager to religious goals. However, it's not true. For example, ISIS is not one domestic religious group. But it hired many kinds of other religious citizens from France and so on. So they need a lot of payment and so on. So they are falling in war.",independent_rebuttal,188.0,244.1,
9,41,44,"However, on the contrary of our cases, the most important thing is that we can certainly beat terrorism itself. We can solve the root cause of all problems. They are just giving us the solution at that time and at that time. We want to solve this motion from the root cause.",point_of_comparison,244.1,273.2,
10,45,45,So one is that we can see no more expected holidays because we stop to pay them.,point_of_main_argument,273.2,279.6,
11,46,46,And second is that we do not cooperate with them from the worldwide.,point_of_main_argument,279.6,283.4,
12,47,47,"We define as this house means that worldwide, so world government.",definition,283.4,288.0,
13,48,53,"So worldwide, we stop to pay them. So that they are certainly falling in war. And they have no money to do terrorism so that terrorist group certainly collapse. So this is the fundamental goal. And it's the only one way to achieve the global goal. So thank you.",point_of_main_argument,288.1,310.9,
