id,start_sentence_index,end_sentence_index,text,role,start_time,end_time
1,4,6,Meta is going to tell you that there's different structural reasons to racism that amplification and media environments can't solve. Don't listen to her. Don't listen to anything Meta is about to say.,independent_rebuttal,11.2,20.6
2,7,11,"Why? First of all, fundamentally, exploring racism is why people are racist, that all opposites and all likewise. First of all, understand that people are racist because of things like amplification of misinformation. In the sense that there's active production or there's active fisting effects in media environments like Twitter, or in media environments like, I don't know, mainstream like NHK or TV networks, that generally gets spread throughout the public. So even if an ethnicity doesn't necessarily like commit a crime, or even if an ethnicity isn't necessarily involved in a crime, insofar as these networks have the power and ability to report on that identity, they're likely going to do so anyway for a quick bucket investment.",point_of_main_argument,20.8,60.0
3,12,15,"But number two, note that there is a structural ignorance of proper reasoning as to why crime happens. Insofar as even if crime happens, there's probably other economic reasons that the government has to tackle. In the sense that when they tell you, hey, why do, you know, like, when they tell you like, okay, why do foreigners not pay their fucking health insurance, never mind the fact that most foreigners do, probably the reason is because they can't do things like read or write Japanese, or they don't have enough nuance to visit the local office, which is like a really fucking archaic way of paying your health insurance in the first place, right? So there's a fundamental ignorance as to why then people commit these infractions.",point_of_main_argument,60.7,96.1
4,16,18,"But third of all, note that outgrowing group mentalities are amplified, and this eventually leads to racism. Because even if, like, you have a structural understanding that there's something wrong with your country, it's far easier to opt into the blame game of saying that foreigners are bad rather than that you yourself are bad, or that the people approximate to you are bad, or that the system itself is bad, right? So obviously you're going to opt into a far more toxic report about why in and of itself foreigners are the ones to blame, or why foreigners are the ones that you have specifically have to target within these media environments.",point_of_main_argument,96.3,126.2
5,19,21,"What does this all lead to? Necessarily media environments where social discourse surrounding foreigners become increasingly toxic, the more and more you say that these people are likely to commit crime, things like media over-reporting on crimes committed by foreigners as a minority, things like minority politics being dominated by this sort of toxic discourse in and of itself, no, like, no proper discussion about that, solving things like socioeconomic reasonings as to why people commit crimes. The impact a media cycle or narrative has is very, very apparent in current society.",point_of_main_argument,126.6,155.8
6,22,27,"What does it do? One, note that it amplifies or validates what right-wing influencers say, in the sense that if we both concede that there's an active production of this sort of misinformation, then people who remain the producers are likely going to continuously validate it with this sort of misinformation. But number two, note that it confirms the internal bias that people have. Insofar as you look at the news and you see that, for example, a Korean or a Chinese person stabs someone, you're more likely to reach the conclusion that, ah, the internal xenophobic natural human-born fear that I have is correct, therefore I should avoid these people or try to vote them out of my country. But third of all, note that it causes widespread fear. Because when NHK reports under very, very fucked-up conspiracy theories, like Abe used to be part of a religious cult that was Korean, probably the shooter was Korean too, that means it causes a widespread panic or an increased net increase of xenophobia in general.",point_of_main_argument,155.8,210.1
7,28,31,"Even if MEDA is here to argue that, hey, those things are symmetrical under our side of the house, it's really not, because at a comparative, at least insofar as media organizations are banned or cannot report on these facts, it's far less likely that the media is going to turn on this ethnicity, or that people in general are going to focus on this ethnicity. Why? Because one, media is far more likely to turn against government authority or local authority or widespread authority structures that have dictated the crime in other ways. But number two, there's just net less aggressive commentary against the ethnic minority insofar as that particular detail is out of people's minds or less dominates media cycles in general.",point_of_comparison,210.1,250.0
8,32,35,"Why does discrimination change in our side of the house, even if the world posits differently? One, note that, like I basically noted, that there's still a healthy amount of older blood who remains strongly undecided. Insofar as there's people that have sneaking suspicions about foreigners or inserted xenophobia or basic racism, they're still not likely going to actively vote against minority policies or vote against foreigner policies, right? But once you have this sort of media cycle overtly focusing on this foreign influence or overtly focusing on this ethnic minority, they're far more likely to cast votes for Trump or extreme right-wing influence or extreme right-wing politicians.",point_of_main_argument,250.0,288.1
9,36,40,"But number two, note that it empowers bigots to move to action. Yes, I understand that the most racist people won't necessarily change their thought, regardless of what the media says. Even if you disregard or ignore my analysis about how middle-ground free voters are likely going to change, note here that these empowered bigots are far more likely to then move to action than their worst fears, right? They're far more likely to do things like spit at me on the train or assault me at the street, right? Insofar as their fears are confirmed, they're far more likely to be justified in engaging in this sort of crime.",point_of_main_argument,288.1,321.1
10,41,43,"But even if they don't engage in this sort of crime, and Mehta tells you that law and order is already a check and balance, note that, third of all, this generally increases the level of mistrust, microaggressions, and injustice. In the sense that even if you aren't a bigot, insofar as you're a private citizen that is afraid or fearful of this minority, and that fear is amplified by the fact that a minority proximate to you has supposedly committed a crime, it's far more likely going to be that you act a little more aggressively, or you try to avoid that minority on the street, or you call them a slur, or you're less likely to hire them, or you're less likely to give these individuals opportunities. That's a net injustice that uniquely occurs under opposition.",point_of_main_argument,321.1,359.5
11,44,46,"I think there's a couple important things to note here, regardless of what opposition says. Opposition is going to posit that, one, solvency is symmetric. This isn't true, because at least under our side of the house, one, even if you ignore Sakumi's whole analysis about how media environments are likely going to revolve around something that is far more productive, at least under our side of the house, there's less people getting assaulted, or there's less people getting sued.",point_of_comparison,359.5,384.4
12,47,49,"But number two, I think the premise of this motion that opposition bench has to carry is the idea that media is perfectly rational. This isn't true, right? Media is an irrational actor that has major profits as part of its stakeholder interest, which means that if you give them the ability to talk about this sort of identity or talk about this sort of race, they're far more likely going to report it without confirming it, or they're far more likely going to speculate it.",point_of_comparison,384.4,411.7
13,50,51,"Note that even if MEDA tells you that this harm is likely going to be better, because a majority is also committing crimes and they're going to report it, note that once a minority commits crimes, that's far more going to be amplified. Because if I own media and I want people to pay attention to me, I'm far more likely to put the minority crimes that other people can look at and be racist about and pay attention to on my main news panels, like 9 o'clock news or 10 o'clock news, very, very proud to propose.",point_of_comparison,411.7,437.1
