id,start_sentence_index,end_sentence_index,text,role,start_time,end_time
1,0,0,"So basically I'm going to talk about in this area with the high literacy rate, this will significantly reduce the qualification of Mississippians to be a teacher.",introduction,0.9,10.8
2,1,1,"And most of the areas that have a high literacy rate would be poor areas, and they're mostly dependent on other countries, and all of those areas will have the same things called lack of education systems.",point_of_main_argument,13.1,30.9
3,2,2,"And in those high literacy rates areas, we must understand what is a teacher's qualification.",definition,32.2,40.6
4,3,3,"And to have the ability to be a teacher, the most obvious thing is the ability to teach, or ability to write, to understand the languages of the specific country, or understand the cultures, or have knowledge in the specific areas.",definition,41.9,59.3
5,4,4,"So we also need to understand that having a high literacy rate is also a fundamental problem to solving other problems in the country, because people need to understand and to learn the language to communicate, which is the most specific thing, which is the most simple thing,",point_of_main_argument,61.7,106.0
6,5,5,"and it also doesn't mean like the rate of the teachers need to be reduced,",independent_rebuttal,107.0,157.7
7,5,5,"and for example, in some countries, to reduce the high literacy rate, the rate of the qualification is possible to reduce, such as people, the teachers, because it's an emergency case, it is a fundamental problem, so specific countries need to have an immediate need for teachers, which means reducing the qualifications,",point_of_main_argument,107.0,157.7
8,6,6,"by reducing the qualifications of the teachers, it can increase the teaching workforce by that, asking for more people to be a teacher, to spreading the information, and increasing the teaching workforce rapidly,",point_of_main_argument,158.3,201.1
9,6,6,"and for example, Vietnam, they used to have high literacy rate by depending on some countries, and they caused an impact to make the people there to completely depend on them by not understanding their own languages,",point_of_main_argument,158.3,201.1
10,7,7,"and by that, to prevent those problems, to become independent, to become not more dependent on some countries, it will make the people there vulnerable, right?",point_of_main_argument,201.1,215.8
11,8,8,"So by solving that problem, decreasing the rate of qualifications of teachers is a need that people can, asking for more teachers to spreading the understanding in the problem,",point_of_main_argument,215.8,263.6
12,8,8,"because without understanding the culture, without having a knowledge to their own countries, or without having a knowledge to understanding the world, the words, having understanding is also a very important matter,",point_of_main_argument,215.8,263.6
