id,start_word_index,end_word_index,text,role,start_time,end_time,confidence
1,0,14,"Our goal is not only to protect the nation, but also to fight against terrorism.",claim,5.099999904632568,13.279999732971191,
2,15,30,"So, ladies and gentlemen, it is an honor for me to be here and speak.",discourse,14.4399995803833,21.399999618530273,
3,31,36,"So, I will do my best.",discourse,22.059999465942383,23.959999084472656,
4,37,42,"So, I have three points today.",discourse,23.959999084472656,26.18000030517578,
5,43,65,"One is that the government's role is a safe citizen, but safe citizen doesn't mean a fool when we take and watch for.",claim,26.6200008392334,34.540000915527344,
6,66,87,"The second is that this plan, so the payment paid for the terrorists, it means that the opposition side is totally against our government's role.",claim,34.880001068115234,49.65999984741211,
7,88,99,And third is that this plan certainly contributes to our government's role.,claim,49.65999984741211,56.220001220703125,
8,100,106,"So, let me explain one by one.",discourse,56.34000015258789,59.779998779296875,
9,107,114,"So, before that, I have to define this motion.",discourse,60.380001068115234,62.81999969482422,
10,115,123,This housing is that of the whole government.,definition,63.02000045776367,65.16000366210938,
11,124,138,"As the government told us, we criminalize the payment for ransom to the terrorists below.",claim,67.5199966430664,72.45999908447266,
12,139,152,"So, terrorists below, yes, please imagine about the earrings I attend to at home.",discourse,72.5199966430664,76.05999755859375,
13,153,159,"So, let me move on to my point.",discourse,76.33999633789062,77.9800033569336,
14,160,164,First is our government's role.,discourse,78.66000366210938,81.0199966430664,
15,165,181,"I think that maybe in this debate that safe citizen is the consensus of the state base,",premise,82.5999984741211,87.68000030517578,
16,182,195,"but safe citizen, what does it mean? It's completely different in these two sides.",claim,87.94000244140625,93.72000122070312,
17,196,204,"So, maybe they said that safe citizen means safe hostage,",counterargument,94.9000015258789,98.18000030517578,
18,205,208,but this is individual.,rebuttal,98.55999755859375,100.26000213623047,
19,209,217,Our means of safe citizen is the safe mass citizen.,claim,101.72000122070312,106.18000030517578,
20,218,223,"It's not individual, but societal level.",premise,107.08000183105469,110.68000030517578,
21,224,234,"So, we government put priority on the mass citizen, not the individual citizen,",claim,112.91999816894531,120.30000305175781,
22,235,247,because the government's kind of job is making the happiness life of the whole nation.,premise,120.30000305175781,130.5399932861328,
23,248,261,"In order to achieve this goal, we have to set up a very easy and peaceful society.",premise,130.6999969482422,137.0,
24,262,277,"So, if the system of society will collapse, we'll never get the happy life, ladies and gentlemen.",premise,137.5399932861328,144.44000244140625,
25,278,290,"So, in order to set up the healthy society, what we need is the safe citizen.",premise,145.27999877929688,150.75999450683594,
26,291,295,"So, mass citizen, not individual.",claim,151.1199951171875,152.5,
27,296,307,"In this point, we put the priority on the not individual, but the mass.",claim,152.77999877929688,156.13999938964844,
28,308,326,"So, the society system means that only we go shopping to our town or exciting music live.",example,157.89999389648438,167.27999877929688,
29,327,338,"So, work hard, sleep peacefully, and go overseas like that.",example,168.10000610351562,172.44000244140625,
30,339,344,We can enjoy ordinary daily life.,premise,172.60000610351562,175.1199951171875,
31,345,352,It's the ultimate happiness in this world.,premise,175.47999572753906,181.86000061035156,
32,353,366,"However, the second point is that the payment for the long term is certainly against this goal.",claim,185.05999755859375,191.74000549316406,
33,367,385,"So, A is that pay to terrorism group is that it becomes torturer to the people on this kind of list.",claim,192.33999633789062,207.5,
34,386,422,"Because once we pay to the terrorism, they'll become not just. Just because we send the kids sleeping from this government, we can get the money. So, why terrorism group do kids sleeping or get hostage means that they want money.",premise,207.74000549316406,225.16000366210938,
35,423,441,"So, ISIS and so on is a very isolated organization. So, they have very struggling to deal with that money.",premise,225.3800048828125,232.86000061035156,
36,442,455,"So, in order to get money, they kill kids sleeping, get hostage, and get money from them.",premise,233.10000610351562,241.5,
37,456,467,"So, if they recognize that from our government, they can derive the money.",premise,242.5399932861328,248.89999389648438,
38,468,472,"So, they do again and again.",claim,249.13999938964844,250.5,
39,473,482,"So, this kind of list of being hostage will be certainly increased.",claim,251.22000122070312,255.80999755859375,
40,483,499,The second point is that to get money is that it means that to cooperate to the terrorism is certainly necessary.,claim,256.44000244140625,265.0199890136719,
41,500,518,"So, this kind of terrorism is that certainly anti-social group so that it tries to destroy our peaceful or healthy society.",premise,265.739990234375,278.6400146484375,
42,519,534,"Also, it gives them the money to buy weapons or pay for the air and so on.",premise,281.5400085449219,294.0199890136719,
43,535,546,"So, that will certainly be a power to the ISIS and so on.",claim,294.17999267578125,297.70001220703125,
44,547,560,"So, in two points, payment for the terrorist, it is certainly against our governmental law.",claim,298.20001220703125,306.4800109863281,
45,561,598,"However, third point. So, this plan can be solved with progress. So, do you mean that you want to make those victims of ransom? Do you kind of make victims of kidnapping? Do you neglect those victims of kidnapping rather than potential hostages?",rebuttal,312.4599914550781,331.0199890136719,
46,599,617,"So, what is that? So, after I explained to you that this kind of list of hostages can lead to thousands of victims.",premise,331.8800048828125,339.0400085449219,
47,618,628,"The second is that we actually criminalize the payment, but other kinds of ways.",claim,339.3399963378906,344.9599914550781,
48,629,654,"For example, co-aggression. So, a few years ago, when our Japanese Japanese are hostage by the ISIS, we are co-aggressed by the Turkish government or closed system and try to save them.",example,345.260009765625,359.260009765625,
49,655,663,"And like this kind of the way, we already have.",claim,359.6199951171875,362.3399963378906,
50,664,686,"And the third point is, even if actually we cannot actually succeed in this kind of success, but even though, but rather we prioritize in the mass citizen rather than individuals.",claim,364.5799865722656,381.4200134277344,
