id,start_sentence_index,end_sentence_index,text,role,start_time,end_time
1,0,2,"My speech will start in 3, 2, 1. So, first things from the DIO, first of all, engagement with the OG, and after that, explain our extension. So, first of all, engage with the Open Up government bench.",introduction,0.0,15.1
2,3,20,"So, I have several engagements. So, first of all, let's check the premise of the government side. So, in this debate, the government's bench goal is in developing countries context-wide. So, this is what they talk about in this debate. But, first of all, we did not accept that premise because let's think about the context where in areas with high literacy rate. So, first of all, you will intuitively notice that this is the developed countries context-wide because, first of all, in developed countries, the quality of education, which directly connects to the leading complication ability or literacy rates, are well-organized compared with the developing country, right? So, therefore, in the first place, the context is not developing country, but developed country, right? Especially, for example, East Asia, especially South Korea or Japan, but also European countries like France or the UK or this kind of developed country, right? And then, and also, even if the scope of the government bench is in developing country, by taking this plan, the situation of, the quality of education will not advance in India's health. Why? Because, first of all, as we define the motion, the qualification is the, for example, degree of the university or the teacher license or this kind of stuff. And then, without these qualifications, like in developed countries, people who do not have expertise or who do not have passion to educate children is going to be a teacher in this health. And also, because in developing countries, the lack of educators are so serious, like the people who are not expertise is going to be teacher in this health. So, this is the library context in this debate as opposition government bench talked about in this debate. And then, without being said, compared with our standard health, like the quality of education is worse than India's standard health, right? Because of these reasons. So, therefore, in the first place, the premise, scope is in developing countries is wrong in the first place, right? So, because the premise is wrong, their entire argument is defeated.",independent_rebuttal,15.3,168.5
3,21,25,"And next engagement here is about the passion coming from the DPM. So, first of all, we did not discuss the passion in the first place, right? What we focus on this debate is not the passion, but rather the qualification of the teacher itself, right? Whether or not it is good, right? So, therefore, in the first place, we do not discuss the passion in the first place.",independent_rebuttal,169.9,201.1
4,26,32,"And also, as for the passion, what they talk about is the teachers cannot, do not have the enough passion or do not acquire the trait to be a teacher in the first place, right? But it is not true in the first place because even if that is true, in the first place, who will be teacher in this context? We think that these are people who at least have the passion or the motivation to be teacher, will be teacher in the first place, right? This means that at least they have the passion or motivation to educate children or give a good education to children in order to be a good teacher in the first place, right? So, therefore, even if what they talk about is true, that is not likely in the 7th house, right? Rather, in the 7th house, because the qualification of teachers remains as the same in the 7th house, like the quality of teachers are key at the same level in the 7th house compared with the 7th house where the quality of education is worsened. So, therefore, for those reasons, their arguments are beaded successfully.",independent_rebuttal,201.6,284.7
5,33,37,"So, let's move on to our extension. We have two extensions here. The first extension is students are personality, right? My partner already told you the academia in school. I will talk about the role of teachers.",point_of_main_argument,284.9,300.0
6,38,39,"It's not just teaching subject, but it is the educating sociability, manner, and moral, which is important to get along with others in society. So, what the government bench misses in this debate is the qualities or traits of the teacher itself, right?",point_of_main_argument,300.4,316.9
7,40,41,"And then the premise of this is two things. The first is in opposition bench, you need to acquire expertise, but also you need to take the course to be a good teacher in the university or this kind of stuff.",point_of_main_argument,317.1,331.3
8,42,46,"And then the next is this debate. This debate scope is elementary school or junior high school or high school, right? This means that students who get effect in this debate are so immature, right? Because it is biologically immature, but also children do not have less experience compared with the adults, right? Therefore, for those reasons, they are immature.",point_of_main_argument,331.6,358.0
9,47,51,"And then, with that being said, what we need for children is the indicators, right? Good indicators or good teachers, right? And then the delta in this debate is that at least in New South Wales, because there are clear qualifications to be a good teacher, in New South Wales, there are some good teachers who have passion or motivation to educate children, not only about the scholarship, but also, more importantly, sociability or manners and moral, this kind of stuff, right? And then they have a little bit expertise about that because the course to be teachers guarantee these kind of materials, right? So therefore, compared with that, our side, we can not only educate our subject, but also the sociability or this kind of important stuff.",point_of_main_argument,358.6,415.1
10,52,55,"That's our extension, so let's move on to the next extension. So our next extension is why are good teachers who are well-acquired important to children like us or students, right? So this is about the, it affects not only the intelligent students, but also the students who are now struggling with the academic stuff. So therefore, because we say both actors, we are so proud to oppose.",point_of_main_argument,416.2,448.3
