id,start_sentence_index,end_sentence_index,text,role,start_time,end_time
0,0,5,"I'll start my speech in 3, 2, 1, go. We think school is not a place where to teach ability to children. We think school is a small second society for children. So we think that school is not only a place to get some abilities, but also to communicate with children. So we think that communicating with children is more important thing for the children. So in terms of this point, we try to oppose in this motion. We're talking about three things.",introduction,0.0,37.4
1,6,10,"Firstly, how to extend for my opening opposition, how to educate to teach in the qualification test. Secondly, how to teach to children, two types of arguments. Firstly, children have school learning after the motion. Secondly, they can't solve their own communication problem. This is very serious problem for the children, we think.",introduction,37.4,65.1
2,11,16,"So I move on my first argument, how to educate teachers in the university or something. So the leader's opposition or someone talking about the qualification is some training in the university or something. So however, we think that we have to more prove that how to educate and what kind of education to educate for the teachers. We think that in the university, they learn how to communicate with children. They try to learn to communicate with children. So for example, how to compromise about the children problem like bowling or something.",point_of_main_argument,65.5,110.7
3,17,21,"So we think that universities are not only teaching some specialized ability. We think that in the universities, educate for teachers how to educate, communicate with some children. So then in this case, it's very important for the children. It's important for the teachers, because in the schools, mostly problem is how to compromise the children, like bowling or something, a mental problem. So we think that this is very important for the skills.",point_of_main_argument,110.7,153.2
4,22,25,"However, after the motion, maybe the government said they are talking about how to reduce their qualification test. We think that some qualification test means that maybe even if the teacher want to join some schools, they can join school like this. We think that some qualification test or something university skill will be abandoned after the motion. So in terms of maybe some birth teacher go to the school and teaching children, so that is a very serious situation.",independent_rebuttal,153.7,192.9
5,26,31,"Then we think that maybe the government talking about they can learn some skills or something. However, this is not fundamental. Because the prime minister talking about if they learn something skills, they can change their society. However, this argument have much more logic. And they didn't talking about what is the impact of the disability. In terms of the basic skills or something, some sensing skills. So even if they can learn something, they have no impact.",independent_rebuttal,192.9,231.6
6,32,35,"And secondly, they're talking about that. Secondly, maybe the members of government talking about the teachers should have much more passion. However, we think that in terms of this position, that they can teach well in their school. So we think we have much more harder qualification test. We need.",independent_rebuttal,232.0,262.2
7,36,38,"So maybe the government doesn't stand on government argument. On the contrary, even if some birth teacher go to the school, the children can't learn some education or something. So even if the birth teacher go to the school, they lost their skills.",point_of_main_argument,264.8,294.5
8,39,41,"And then furthermore, the children have more passion than the teachers. So then they don't want to go to school. Or even if the teacher forced to learn in their school.",point_of_main_argument,295.0,308.2
9,42,44,So this is very serious situation in terms of the lie. So we think that teachers should have much more qualification. But this is very bad for the children.,point_of_main_argument,308.5,323.8
10,45,49,"And look at my third argument. So I extend for the children. So maybe the government are openly talking about some ability for the children. However, we see, as my introduction said, that the school is a small society for the children. So we have to learn some solving their children problem.",point_of_main_argument,324.7,355.2
11,50,53,"For example, firstly, the teacher is a mentor as a mentor supporter for the children. Especially the adolescents facing some more mental problem, like some problem with a parent or problem with classmates. And the parent problem is very important for the children because they can't say this problem anywhere. So the teacher is only supporter for the children. So this is very important.",point_of_main_argument,355.4,392.0
12,54,55,"And then some classmate problem, like a bullying situation, that children is only person who can solve this problem. So even if the teachers can't teach or compromise this problem, they have much more bad situation.",point_of_main_argument,392.6,413.8
13,56,60,"So we think that this is very serious situation because some adolescents people are vulnerable people because they can't solve themselves. So they need to support someone. So in terms of schools, the teacher is only supporter for the children. So this is very serious situation. After watching the talk, we are proud to support.",point_of_main_argument,414.2,439.8
